# 0: all purpose
# 1: nouns
# 2: verbs
# 3: adjectives
# 4: adverbs
# 5: names
# 6: cities
# 7: coutries
# 8: nice words
### Groups:
####################
Aachen 0,1,6
Altöl 0
Altona 0
Altötting 0
Altpapier 0
Altrocker 0
ALTRUISMUS 0
Altstadt 0
Altstädter 0
Altstar 0
Altstars 0
Altstimme 0
Altvater 0
Altwerden 0
Alufelgen 0
Alufolie 0
Aluminium 0
Alzheimer 0
Amadeus 0
Amalgam 0
Amalia 0
Amalie 0
Amanda 0
Amateur 0
Amateure 0
Amateuren 0
Amazonas 0
Amazone 0
Amazonen 0
Amazonien 0
Amber 0
Amberg 0
Amberger 0
Ambiente 0
Ambition 0
Ambitionen 0
ambivalent 0
Ambivalenz 0
Amboss 0
ambulant 0
ambulante 0
ambulanten 0
ambulanter 0
Ambulanz 0
Ambulanzen 0
Ameise 0
Ameisen 0
Amelia 0
Amelie 0
Amen 0
Amerika 0
Amerikaner 0
Amerikas 0
AMMAN 0
Amme 0
AMMEN 0
Ammersee 0
Ammoniak 0
Amnesie 0
Amnestie 0
amnestiert 0
Amok 0
Amokfahrt 0
Amoklauf 0
Amokläufer 0
AMON 0
amourösen 0
Ampel 0
Ampeln 0
Amphetamin 0
Amphibien 0
Ampullen 0
Amputation 0
amputiert 0
Amsel 0
Amseln 0
Amsterdam 0
Ämter 0
Ämtern 0
Amtes 0
amtieren 0
amtierende 0
amtiert 0
amtierte 0
amtlich 0
amtliche 0
Amtliche 0
amtlichen 0
Amtlichen 0
amtlicher 0
amtliches 0
Amtmann 0
Amts 0
Amtsarzt 0
Amtsblatt 0
Amtschef 0
Amtseid 0
Amtshilfe 0
Amtsjahr 0
Amtsjahren 0
Amtskirche 0
Amtsleiter 0
amtsmüde 0
Amtsrat 0
Amtssitz 0
Amtsstube 0
Amtsstuben 0
Amtsträger 0
Amtszeit 0
Amtszeiten 0
Amtszimmer 0
Amulett 0
amüsant 0
Amüsant 0
amüsante 0
amüsanten 0
amüsanter 0
amüsantes 0
Amüsement 0
amüsieren 0
amüsiert 0
amüsierte 0
amüsierten 0
